index,metadata,proba_canon,prediction,accord
1832_Corbiere-Edouard_Les-pilotes-de-l-Iroise,non_canon,0.3699670607344177,non_canon,True
2016_Perec-Georges_L-Attentat-de-Sarajevo,non_canon,0.5713046266863355,canon,False
1908_Barbusse-Henri_L-enfer,canon,0.883833185344781,canon,True
1882_Daudet-Alphonse_L-evangeliste,non_canon,0.7045084088600937,canon,False
1995_Carrere-Emmanuel_La-classe-de-neige,canon,0.5126236038504943,canon,True
1958_Beauvoir-Simone-de_Memoires-d-une-jeune-fille-rangee,canon,0.6915165955247292,canon,True
2001_Daeninckx-Didier_12-rue-Meckert,non_canon,0.34855664886584714,non_canon,True
1994_Bove-Emmanuel_Memoires-d-un-homme-singulier,non_canon,0.5687145947684955,canon,False
1878_Zola-Emile_Madeleine-Ferat,canon,0.6216808551936726,canon,True
1984_Kundera-Milan_L-insoutenable-legerete-de-l-etre,non_canon,0.8702238516997371,canon,False
1872_Zola-Emile_La-curee,canon,0.6927467891595882,canon,True
1826_Ginouvier-J-F-T._Gustave-et-Aspais-ou-Les-victimes-des-prejuges-de-l-epoque_tome-1,non_canon,0.16125106785439122,non_canon,True
1883_Millanvoye-Bertrand-Etievant-A._Les-Coquines,non_canon,0.02093679325137005,non_canon,True
2013_Ferney-Alice_Cherchez-La-Femme,canon,0.5324080460640339,canon,True
1876_Richepin-Jean_Les-Morts-bizarres,non_canon,0.7137145643549972,canon,False
2014_Louis-Edouard_En-finir-avec-Eddy-Bellegueule,non_canon,0.667159187841462,canon,False
1875_Zola-Emile_La-faute-de-l-abbe-Mouret,canon,0.7523760055766056,canon,True
1909_Farrere-Claude_La-Bataille,canon,0.5511649833993368,canon,True
1829_Merimee-Prosper_Tamango,non_canon,0.33533622764119153,non_canon,True
1916_Barbusse-Henri_Le-Feu,canon,0.6808800529209239,canon,True
1883_Zola-Emile_Au-bonheur-des-dames,canon,0.6478214887353,canon,True
1890_Zola-Emile_La-bete-humaine,canon,0.7865965600185949,canon,True
1875_Daudet-Alphonse_Jack,canon,0.6800902349828742,canon,True
1866_Muller-Rene_Les-Enfants-gates,canon,0.17185945146623613,non_canon,False
1996_Rolin-Jean_L-Organisation,canon,0.5823353734011526,canon,True
1964_Simenon-Georges_La-patience-de-Maigret,non_canon,0.29279778031676335,non_canon,True
1911_Farrere-Claude_La-maison-des-hommes-vivants,non_canon,0.5931178418689421,canon,False
1968_Simenon-Georges_Maigret-a-Vichy,non_canon,0.29279778031676335,non_canon,True
2008_Bouraoui-Nina_Appelez-moi-par-mon-prenom,non_canon,0.3343214112451004,non_canon,True
1836_Girardin-Delphine-de_La-canne-de-M-de-Balzac,non_canon,0.2831093122101153,non_canon,True
1891_Verlaine-Paul_Mes-hopitaux,non_canon,0.5,canon,False
1913_Proust-Marcel_Du-cote-de-chez-Swann,canon,0.7912772271981642,canon,True
1870_Zola-Emile_La-fortune-des-Rougon,canon,0.726655705545875,canon,True
1855_Nerval-Gerard-de_Aurelia,canon,0.41374437463201946,non_canon,False
1875_Theuriet-Andre_Le-mariage-de-Gerard,non_canon,0.35184501596058154,non_canon,True
1938_Nizan-Paul_La-Conspiration,canon,0.9053255218333702,canon,True
1893_Verlaine-Paul_Mes-prisons,canon,0.33022666326694505,non_canon,False
1965_Perec-Georges_Les-choses,canon,0.6539453259755056,canon,True
1921_Proust-Marcel_Le-Cote-de-Guermantes,canon,0.6668385921953696,canon,True
1954_Beauvoir-Simone-de_Les-Mandarins_1,canon,0.39821919800513367,non_canon,False
1905_Lermina-Jules_To-Ho-Le-Tueur-d-or,non_canon,0.21529088411094646,non_canon,True
1999_Vargas-Fred_L-homme-a-l-envers,canon,0.47330972011125394,canon,True
1876_Zola-Emile_Son-excellence-Eugene-Rougon,canon,0.5391404665340458,canon,True
2004_Grimbert-Philippe_Un-secret,canon,0.5499811871120182,canon,True
1823_Duras-Claire-de-Durfort_Ourika,non_canon,0.31864789953560413,non_canon,True
1953_Simenon-Georges_Maigret-a-peur,non_canon,0.29279778031676335,non_canon,True
1880_Zola-Emile_Nana,canon,0.7379424014647432,canon,True
1983_Ernaux-Annie_La-place,canon,0.7630320481275461,canon,True
2008_Ernaux-Annie_Les-annees,canon,0.7431390853134939,canon,True
