doc_name,date,auteur,titre,gender,subgenre,canon_roman,canon_auteur,bac,brevet,lm,sup,prix,gf,pleiade,gouv
1877_Daudet-Ernest_Le-Crime-de-Jean-Malory,1877,ernest daudet,le crime de jean malory,male,,non_canon,non_canon,0,0,0,0,0,0,0,0
1983_Sarraute-Nathalie_Enfance,1983,nathalie sarraute,enfance,female,mémoires et autobiographie,canon,canon,0,1,1,0,0,0,1,0
1847_Inconnu_La-bonne-mere,1847,inconnu,la bonne mere,,,non_canon,non_canon,0,0,0,0,0,0,0,0
1878_Lemoine_La-Guerre-pendant-les-vacances-recit-d-un-vieux-soldat,1878,lemoine,la guerre pendant les vacances recit d un vieux soldat,,littérature jeunesse,non_canon,non_canon,0,0,0,0,0,0,0,0
1882_Loti-Pierre_Mon-frere-Yves,1882,pierre loti,mon frere yves,male,,non_canon,canon,0,0,1,0,0,0,0,0
2014_Musso-Guillaume_Central-park,2014,guillaume musso,central park,male,roman sentimental,non_canon,non_canon,0,0,0,0,0,0,0,0
1918_Proust-Marcel_A-l-ombre-des-jeunes-filles-en-fleurs,1918,marcel proust,a l ombre des jeunes filles en fleurs,male,cycles et séries,canon,canon,1,0,1,1,1,1,1,0
1883_Pradel-Georges_L-Oeillet-bleu-Le-Gant-de-Suede,1883,georges pradel,l oeillet bleu le gant de suede,male,nouvelles,non_canon,non_canon,0,0,0,0,0,0,0,0
1987_Simon-Claude_L-invitation,1987,claude simon,l invitation,male,,non_canon,canon,0,0,0,0,0,0,1,0
1877_Verne-Jules_Les-Indes-noires,1877,jules verne,les indes noires,male,fantastique,non_canon,canon,0,0,0,0,0,0,1,0
1855_Solignac-Armand-de_Le-Gateau-des-rois-souvenirs-d-enfance,1855,armand de solignac,le gateau des rois souvenirs d enfance,male,littérature jeunesse,non_canon,non_canon,0,0,0,0,0,0,0,0
1934_Duhamel-Georges_Le-jardin-des-betes-sauvages,1934,georges duhamel,le jardin des betes sauvages,male,cycles et séries,non_canon,canon,0,0,1,0,0,0,0,0
1857_Ulbach-Louis_Parents-coupables-memoires-d-un-lyceen,1857,louis ulbach,parents coupables memoires d un lyceen,male,,non_canon,non_canon,0,0,0,0,0,0,0,0
1873_Rousset-Alexis_Derailles-et-declasses-Paris-et-la-province_Tome-1,1873,alexis rousset,derailles et declasses paris et la province,male,,non_canon,non_canon,0,0,0,0,0,0,0,0
1905_Bazin-Rene_L-isolee,1905,rene bazin,l isolee,male,,non_canon,non_canon,0,0,0,0,0,0,0,0
1858_Feval-Paul_La-fabrique-des-mariages_Vol_II,1858,paul feval,la fabrique des mariages,male,,non_canon,non_canon,0,0,0,0,0,0,0,0
1979_Echenoz-Jean_Le-meridien-de-Greenwich,1979,jean echenoz,le meridien de greenwich,male,roman d'aventures,non_canon,canon,0,0,0,0,0,0,0,0
1876_Delpit-Albert_Jean-nu-pieds-chronique-de-1832_volume-1,1876,albert delpit,jean nu pieds chronique de 1832,male,roman d'aventures,non_canon,non_canon,0,0,0,0,0,0,0,0
1871_Gaboriau-Emile_La-Degringolade_Tome-1,1871,emile gaboriau,la degringolade,male,policier,non_canon,non_canon,0,0,0,0,0,0,0,0
1846_Feval-Paul_La-Quittance-de-minuit_Tome-II-La-Galerie-du-geant,1846,paul feval,la quittance de minuit,male,roman historique,non_canon,non_canon,0,0,0,0,0,0,0,0
1842_Balzac-Honore-de_Madame-Firmiani,1842,honore de balzac,madame firmiani,male,cycles et séries,non_canon,canon,0,0,1,0,0,0,1,0
1904_Theuriet-Andre_Chanteraine,1904,andre theuriet,chanteraine,male,,non_canon,non_canon,0,0,0,0,0,0,0,0
1898_Huysmans-Joris-Karl_La-Cathedrale,1898,joris karl huysmans,la cathedrale,male,cycles et séries,non_canon,canon,0,0,1,0,0,0,0,0
1846_Balzac-Honore-de_Louis-Lambert,1846,honore de balzac,louis lambert,male,cycles et séries,canon,canon,0,0,1,0,0,0,1,1
2015_Angot-Christine_Un-amour-impossible,2015,christine angot,un amour impossible,female,mémoires et autobiographie,non_canon,canon,0,0,0,0,0,0,0,0
1923_Bourget-Paul_La-Geôle,1923,paul bourget,la geôle,male,,non_canon,canon,0,0,1,0,0,0,0,0
1911_Ivoi-Paul-d-_L-Espion-X-323_Volume-III-Du-sang-sur-le-Nil,1911,paul d  ivoi,l espion x 323,male,policier,non_canon,non_canon,0,0,0,0,0,0,0,0
1842_Hugo-Victor_Le-Rhin_I,1842,victor hugo,le rhin,male,épistolaire,non_canon,canon,0,0,1,0,0,0,1,0
1836_Musset-Alfred-de_La-Confession-d-un-enfant-du-siecle,1836,alfred de musset,la confession d un enfant du siecle,male, mémoires et autobiographie ,canon,canon,1,0,1,0,0,1,1,1
1875_Thierry-Gilbert_L-Aventure-d-une-ame-en-peine,1875,gilbert thierry,l aventure d une ame en peine,male,,non_canon,non_canon,0,0,0,0,0,0,0,0
1963_San-Antonio_San-Antonio-polka,1963,antonio san,san antonio polka,male,érotisme,non_canon,non_canon,0,0,0,0,0,0,0,0
1876_Brehat-Alfred-de_Le-bal-de-l-Opera,1876,alfred de brehat,le bal de l opera,male,nouvelles,non_canon,non_canon,0,0,0,0,0,0,0,0
1876_Parseval-Deschenes-Gustave-Louis-Ferdinand_Journal-d-une-desoeuvree,1876,deschenes gustave louis ferdinand parseval,journal d une desoeuvree,male,,non_canon,non_canon,0,0,0,0,0,0,0,0
1899_Noir-Louis_Le-Trappeur-La-Renardiere-Au-Canada-la-tribu-des-Bois-Brules,1899,louis noir,le trappeur la renardiere au canada la tribu des bois brules,male,roman d'aventures,non_canon,non_canon,0,0,0,0,0,0,0,0
1862_Leneveux-Louise_Soirees-en-famille--lectures-pour-la-jeunesse,1862,louise leneveux,soirees en famille  lectures pour la jeunesse,female,littérature jeunesse,non_canon,non_canon,0,0,0,0,0,0,0,0
1846_Reybaud-Louis_Jerome-Paturot-a-la-recherche-d-une-position-sociale_1,1846,louis reybaud,jerome paturot a la recherche d une position sociale,male,,non_canon,non_canon,0,0,0,0,0,0,0,0
1821_Arlincourt-Charles-Victor_Le-Solitaire,1821,charles victor arlincourt,le solitaire,male,roman historique,canon,non_canon,0,0,0,0,1,0,0,0
1843_Balzac-Honore-de_La-Muse-du-departement,1843,honore de balzac,la muse du departement,male,cycles et séries,non_canon,canon,0,0,1,0,0,0,1,0
1904_Leroux-Gaston_La-double-vie-de-Theophraste-Longuet,1904,gaston leroux,la double vie de theophraste longuet,male,fantastique,non_canon,non_canon,0,0,0,0,0,0,0,0
1988_Bergounioux-Pierre_L-arbre-sur-la-riviere,1988,pierre bergounioux,l arbre sur la riviere,male,,non_canon,canon,0,0,0,0,0,0,0,0
1991_Vargas-Fred_L-homme-aux-cercles-bleus,1991,fred vargas,l homme aux cercles bleus,female,policier,non_canon,non_canon,0,0,0,0,0,0,0,0
1918_Rosny-aine-J-H_Le-Felin-geant,1918,aine j h rosny,le felin geant,male,fantastique,non_canon,non_canon,0,0,0,0,0,0,0,0
1895_Gide-Andre_Paludes,1895,andre gide,paludes,male,,non_canon,canon,0,0,1,0,0,0,1,0
1877_Buet-Charles_La-Mitre-et-l-epee-chronique-genevoise,1877,charles buet,la mitre et l epee chronique genevoise,male,roman historique,non_canon,non_canon,0,0,0,0,0,0,0,0
1843_Feval-Paul_Les-Fanfarons-du-Roi,1843,paul feval,les fanfarons du roi,male,roman d'aventures,non_canon,non_canon,0,0,0,0,0,0,0,0
